Retention Time,charge,Light Mass, Light Abundance, Heavy Mass, Heavy Abundance, Ratio
1786.06, 3,443.257171631, 3485631.25, 445.930480957, 3469013.75, 0.995232570858
1786.06, 3,443.257171631, 3485631.25, 445.932250977, 2606512.0, 0.747787649655
1786.06, 3,443.25894165, 4204519.0, 445.9269104, 2122733.25, 0.504869463071
1786.06, 3,443.25894165, 4204519.0, 445.928710938, 3250295.75, 0.773048177449
1786.06, 3,443.25894165, 4204519.0, 445.930480957, 3469013.75, 0.825067920968
1786.06, 3,443.25894165, 4204519.0, 445.932250977, 2606512.0, 0.619931078918
1786.06, 3,443.26071167, 3570910.0, 445.9269104, 2122733.25, 0.594451624376
1786.06, 3,443.26071167, 3570910.0, 445.928710938, 3250295.75, 0.910214973214
1786.06, 3,443.26071167, 3570910.0, 445.930480957, 3469013.75, 0.971464906704
1786.06, 3,443.26071167, 3570910.0, 445.932250977, 2606512.0, 0.729929345741
1786.06, 3,443.262481689, 2060382.625, 445.9269104, 2122733.25, 1.03026167288
1786.06, 3,443.262481689, 2060382.625, 445.928710938, 3250295.75, 1.57752046176
1786.06, 3,443.262481689, 2060382.625, 445.930480957, 3469013.75, 1.68367453108
1786.06, 3,443.262481689, 2060382.625, 445.932250977, 2606512.0, 1.26506211437
1786.06, 3,443.262481689, 2060382.625, 445.934051514, 1300558.625, 0.631221895011
1787.58, 3,442.584716797, 1657129.25, 445.255462646, 1500195.875, 0.905298047814
1787.58, 3,442.584716797, 1657129.25, 445.266113281, 2137539.25, 1.28990496668
1787.58, 3,442.586456299, 4790749.5, 445.257232666, 4756108.0, 0.992769085505
1787.58, 3,442.586456299, 4790749.5, 445.259002686, 8747359.0, 1.82588528162
1787.58, 3,442.586456299, 4790749.5, 445.264343262, 5855950.5, 1.22234537623
1787.58, 3,442.588226318, 8354437.5, 445.257232666, 4756108.0, 0.56929122996
1787.58, 3,442.588226318, 8354437.5, 445.259002686, 8747359.0, 1.0470314728
1787.58, 3,442.588226318, 8354437.5, 445.260772705, 10932120.0, 1.30854052113
1787.58, 3,442.588226318, 8354437.5, 445.262542725, 9651189.0, 1.15521709271
1787.58, 3,442.588226318, 8354437.5, 445.264343262, 5855950.5, 0.700938932154
1787.58, 3,442.58996582, 9997746.0, 445.259002686, 8747359.0, 0.874933109923
1787.58, 3,442.58996582, 9997746.0, 445.260772705, 10932120.0, 1.09345846554
1787.58, 3,442.58996582, 9997746.0, 445.262542725, 9651189.0, 0.965336486844
1787.58, 3,442.58996582, 9997746.0, 445.264343262, 5855950.5, 0.585727072882
1787.58, 3,442.59173584, 8455977.0, 445.257232666, 4756108.0, 0.562455172241
1787.58, 3,442.59173584, 8455977.0, 445.259002686, 8747359.0, 1.034458703
1787.58, 3,442.59173584, 8455977.0, 445.260772705, 10932120.0, 1.29282754672
1787.58, 3,442.59173584, 8455977.0, 445.262542725, 9651189.0, 1.14134522835
1787.58, 3,442.59173584, 8455977.0, 445.264343262, 5855950.5, 0.692522046831
1787.58, 3,442.593505859, 4878890.5, 445.257232666, 4756108.0, 0.974833929968
1787.58, 3,442.593505859, 4878890.5, 445.259002686, 8747359.0, 1.79289922576
1787.58, 3,442.593505859, 4878890.5, 445.262542725, 9651189.0, 1.97815240986
1787.58, 3,442.593505859, 4878890.5, 445.264343262, 5855950.5, 1.20026274416
1787.58, 3,442.595245361, 1650795.25, 445.255462646, 1500195.875, 0.908771620829
1787.58, 3,442.595245361, 1650795.25, 445.266113281, 2137539.25, 1.29485425282
1787.58, 3,442.919006348, 1329772.125, 445.591003418, 2580760.5, 1.94075394685
1787.58, 3,442.919006348, 1329772.125, 445.599884033, 1899326.75, 1.42830994446
1787.58, 3,442.92074585, 3620569.75, 445.591003418, 2580760.5, 0.712805077157
1787.58, 3,442.92074585, 3620569.75, 445.592773438, 5223782.5, 1.44280675714
1787.58, 3,442.92074585, 3620569.75, 445.594543457, 7065400.5, 1.95146095445
1787.58, 3,442.92074585, 3620569.75, 445.596343994, 6747716.5, 1.86371675342
1787.58, 3,442.92074585, 3620569.75, 445.598114014, 4496993.5, 1.24206790934
1787.58, 3,442.92074585, 3620569.75, 445.599884033, 1899326.75, 0.524593332306
1787.58, 3,442.922515869, 6065796.0, 445.592773438, 5223782.5, 0.861186643929
1787.58, 3,442.922515869, 6065796.0, 445.594543457, 7065400.5, 1.16479362313
1787.58, 3,442.922515869, 6065796.0, 445.596343994, 6747716.5, 1.11242061223
1787.58, 3,442.922515869, 6065796.0, 445.598114014, 4496993.5, 0.741369063516
1787.58, 3,442.924285889, 7012394.5, 445.592773438, 5223782.5, 0.744935627909
1787.58, 3,442.924285889, 7012394.5, 445.594543457, 7065400.5, 1.0075589016
1787.58, 3,442.924285889, 7012394.5, 445.596343994, 6747716.5, 0.962255688838
1787.58, 3,442.924285889, 7012394.5, 445.598114014, 4496993.5, 0.641292143504
1787.58, 3,442.926025391, 5723098.0, 445.592773438, 5223782.5, 0.912754333405
1787.58, 3,442.926025391, 5723098.0, 445.594543457, 7065400.5, 1.23454123973
1787.58, 3,442.926025391, 5723098.0, 445.596343994, 6747716.5, 1.17903214308
1787.58, 3,442.926025391, 5723098.0, 445.598114014, 4496993.5, 0.785762099478
1787.58, 3,442.92779541, 3158711.75, 445.591003418, 2580760.5, 0.817029442462
1787.58, 3,442.92779541, 3158711.75, 445.592773438, 5223782.5, 1.65376992693
1787.58, 3,442.92779541, 3158711.75, 445.598114014, 4496993.5, 1.42367960609
1787.58, 3,442.92779541, 3158711.75, 445.599884033, 1899326.75, 0.601297902539
1787.58, 3,443.255432129, 1659848.0, 445.9269104, 1850859.5, 1.11507770591
1787.58, 3,443.255432129, 1659848.0, 445.928710938, 2496834.5, 1.50425490768
1787.58, 3,443.255432129, 1659848.0, 445.930480957, 2370018.5, 1.42785273109
1787.58, 3,443.255432129, 1659848.0, 445.932250977, 1562276.0, 0.941216304144
1787.58, 3,443.257171631, 2551717.5, 445.9269104, 1850859.5, 0.725338717942
1787.58, 3,443.257171631, 2551717.5, 445.928710938, 2496834.5, 0.978491741347
1787.58, 3,443.257171631, 2551717.5, 445.930480957, 2370018.5, 0.928793449902
1787.58, 3,443.257171631, 2551717.5, 445.932250977, 1562276.0, 0.612244889961
1787.58, 3,443.25894165, 2718010.25, 445.9269104, 1850859.5, 0.680961192107
1787.58, 3,443.25894165, 2718010.25, 445.928710938, 2496834.5, 0.918625858751
1787.58, 3,443.25894165, 2718010.25, 445.930480957, 2370018.5, 0.87196819806
1787.58, 3,443.25894165, 2718010.25, 445.932250977, 1562276.0, 0.574786647696
1787.58, 3,443.26071167, 2026124.0, 445.9269104, 1850859.5, 0.913497643777
1787.58, 3,443.26071167, 2026124.0, 445.928710938, 2496834.5, 1.23232067731
1787.58, 3,443.26071167, 2026124.0, 445.930480957, 2370018.5, 1.16973023369
1787.58, 3,443.26071167, 2026124.0, 445.932250977, 1562276.0, 0.771066331577
1792.58, 3,442.586456299, 2407782.25, 445.257232666, 2289898.25, 0.951040423194
1792.58, 3,442.586456299, 2407782.25, 445.266113281, 4301609.5, 1.78654423588
1792.58, 3,442.586456299, 2407782.25, 445.267883301, 1302677.75, 0.541028056005
1792.58, 3,442.588226318, 5753675.0, 445.259002686, 5807379.5, 1.00933394743
1792.58, 3,442.588226318, 5753675.0, 445.260772705, 9277688.0, 1.61248037124
1792.58, 3,442.588226318, 5753675.0, 445.262542725, 10317792.0, 1.79325248645
1792.58, 3,442.588226318, 5753675.0, 445.264343262, 8114903.5, 1.41038614451
1792.58, 3,442.588226318, 5753675.0, 445.266113281, 4301609.5, 0.747628168084
1792.58, 3,442.58996582, 8795739.0, 445.259002686, 5807379.5, 0.660249184293
1792.58, 3,442.58996582, 8795739.0, 445.260772705, 9277688.0, 1.05479346306
1792.58, 3,442.58996582, 8795739.0, 445.262542725, 10317792.0, 1.17304435705
1792.58, 3,442.58996582, 8795739.0, 445.264343262, 8114903.5, 0.92259484962
1792.58, 3,442.59173584, 9390541.0, 445.259002686, 5807379.5, 0.618428640054
1792.58, 3,442.59173584, 9390541.0, 445.260772705, 9277688.0, 0.98798226854
1792.58, 3,442.59173584, 9390541.0, 445.262542725, 10317792.0, 1.09874308626
1792.58, 3,442.59173584, 9390541.0, 445.264343262, 8114903.5, 0.864157187536
1792.58, 3,442.593505859, 7059294.0, 445.259002686, 5807379.5, 0.822657265727
1792.58, 3,442.593505859, 7059294.0, 445.260772705, 9277688.0, 1.31425153847
1792.58, 3,442.593505859, 7059294.0, 445.262542725, 10317792.0, 1.46158978504
1792.58, 3,442.593505859, 7059294.0, 445.264343262, 8114903.5, 1.14953471268
1792.58, 3,442.593505859, 7059294.0, 445.266113281, 4301609.5, 0.609354065718
1792.58, 3,442.595245361, 3514905.0, 445.257232666, 2289898.25, 0.651482259122
1792.58, 3,442.595245361, 3514905.0, 445.259002686, 5807379.5, 1.65221520923
1792.58, 3,442.595245361, 3514905.0, 445.266113281, 4301609.5, 1.22381956269
1792.58, 3,442.92074585, 2176058.25, 445.592773438, 2958252.75, 1.35945476184
1792.58, 3,442.92074585, 2176058.25, 445.599884033, 3012707.25, 1.38447913791
1792.58, 3,442.922515869, 4788469.5, 445.592773438, 2958252.75, 0.617786695728
1792.58, 3,442.922515869, 4788469.5, 445.594543457, 5172742.0, 1.08024954529
1792.58, 3,442.922515869, 4788469.5, 445.596343994, 6190926.5, 1.29288209938
1792.58, 3,442.922515869, 4788469.5, 445.598114014, 5231318.5, 1.09248236832
1792.58, 3,442.922515869, 4788469.5, 445.599884033, 3012707.25, 0.629158700917
1792.58, 3,442.924285889, 6871698.5, 445.594543457, 5172742.0, 0.752760325559
1792.58, 3,442.924285889, 6871698.5, 445.596343994, 6190926.5, 0.900931043468
1792.58, 3,442.924285889, 6871698.5, 445.598114014, 5231318.5, 0.76128463727
1792.58, 3,442.926025391, 6910073.0, 445.594543457, 5172742.0, 0.748579935407
1792.58, 3,442.926025391, 6910073.0, 445.596343994, 6190926.5, 0.895927799894
1792.58, 3,442.926025391, 6910073.0, 445.598114014, 5231318.5, 0.757056908082
1792.58, 3,442.92779541, 4858579.0, 445.592773438, 2958252.75, 0.608872007638
1792.58, 3,442.92779541, 4858579.0, 445.594543457, 5172742.0, 1.06466149876
1792.58, 3,442.92779541, 4858579.0, 445.596343994, 6190926.5, 1.27422575613
1792.58, 3,442.92779541, 4858579.0, 445.598114014, 5231318.5, 1.07671780165
1792.58, 3,442.92779541, 4858579.0, 445.599884033, 3012707.25, 0.620079914312
1792.58, 3,442.92956543, 2207009.5, 445.592773438, 2958252.75, 1.34038967662
